index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
0,2000,2.000,INITIAL_RESET_IDLE,1,0,0,0,0,0x00,0,0xA5,RESET
1,4000,4.000,INITIAL_RESET_IDLE,2,0,0,0,0,0x00,0,0xA5,RESET
2,6000,6.000,INITIAL_RESET_IDLE,3,0,0,0,0,0x00,0,0xA5,RESET
3,8000,8.000,INITIAL_RESET_IDLE,4,0,0,0,0,0x00,0,0xA5,RESET
4,10000,10.000,INITIAL_RESET_IDLE,5,0,0,0,0,0x00,0,0xA5,RESET
5,12000,12.000,INITIAL_RESET_IDLE,6,0,0,0,0,0x00,0,0xA5,RESET
6,14000,14.000,INITIAL_RESET_IDLE,7,0,0,0,0,0x00,0,0xA5,RESET
7,16000,16.000,INITIAL_RESET_IDLE,8,0,0,0,0,0x00,0,0xA5,RESET
8,18000,18.000,INITIAL_RESET_IDLE,9,0,0,1,0,0x00,0,0x00,IDLE
9,20000,20.000,INITIAL_RESET_IDLE,10,0,0,1,0,0x00,0,0x00,IDLE
10,22000,22.000,INITIAL_RESET_IDLE,11,0,0,1,0,0x00,0,0x00,IDLE
11,24000,24.000,CFG_DEFAULT_READ_TOTAL,12,0,0,1,0,0x00,0,0x00,IDLE
12,26000,26.000,CFG_DEFAULT_READ_TOTAL,13,0,0,1,0,0x00,0,0x00,IDLE
13,28000,28.000,CFG_DEFAULT_READ_TOTAL,14,0,0,1,0,0x00,0,0x00,IDLE
14,30000,30.000,CFG_DEFAULT_READ_TOTAL,15,0,0,1,1,0x0F,0,0x00,READ_CFG_MODE
15,32000,32.000,CFG_DEFAULT_READ_TOTAL,16,1,0,1,0,0x01,0,0xF0,READ_CFG_TOTAL
16,34000,34.000,CFG_DEFAULT_READ_TOTAL,17,2,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
17,36000,36.000,CFG_DEFAULT_READ_TOTAL,18,3,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
18,38000,38.000,CFG_DEFAULT_READ_TOTAL,19,4,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
19,40000,40.000,CFG_DEFAULT_READ_TOTAL,20,5,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
20,42000,42.000,CFG_DEFAULT_READ_TOTAL,21,6,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
21,44000,44.000,CFG_DEFAULT_READ_TOTAL,22,7,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
22,46000,46.000,CFG_DEFAULT_READ_TOTAL,23,8,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
23,48000,48.000,CFG_DEFAULT_READ_TOTAL,24,9,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
24,50000,50.000,CFG_DEFAULT_READ_TOTAL,25,10,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
25,52000,52.000,CFG_DEFAULT_READ_TOTAL,26,11,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
26,54000,54.000,CFG_DEFAULT_READ_TOTAL,27,12,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
