index,time_ns,time_us,phase,model_cycle,operation_cycle,clk,rstn,cmd,data_in,valid_out,data_out,state
0,0,0.000,BOOT,0,0,0,0,0,0x00,0,0xA5,RESET
1,0,0.000,INITIAL_RESET_IDLE,0,0,0,0,0,0x00,0,0xA5,RESET
2,1000,1.000,INITIAL_RESET_IDLE,1,0,1,0,0,0x00,0,0xA5,RESET
3,2000,2.000,INITIAL_RESET_IDLE,1,0,0,0,0,0x00,0,0xA5,RESET
4,3000,3.000,INITIAL_RESET_IDLE,2,0,1,0,0,0x00,0,0xA5,RESET
5,4000,4.000,INITIAL_RESET_IDLE,2,0,0,0,0,0x00,0,0xA5,RESET
6,5000,5.000,INITIAL_RESET_IDLE,3,0,1,0,0,0x00,0,0xA5,RESET
7,6000,6.000,INITIAL_RESET_IDLE,3,0,0,0,0,0x00,0,0xA5,RESET
8,7000,7.000,INITIAL_RESET_IDLE,4,0,1,0,0,0x00,0,0xA5,RESET
9,8000,8.000,INITIAL_RESET_IDLE,4,0,0,0,0,0x00,0,0xA5,RESET
10,9000,9.000,INITIAL_RESET_IDLE,5,0,1,0,0,0x00,0,0xA5,RESET
11,10000,10.000,INITIAL_RESET_IDLE,5,0,0,0,0,0x00,0,0xA5,RESET
12,11000,11.000,INITIAL_RESET_IDLE,6,0,1,0,0,0x00,0,0xA5,RESET
13,12000,12.000,INITIAL_RESET_IDLE,6,0,0,0,0,0x00,0,0xA5,RESET
14,13000,13.000,INITIAL_RESET_IDLE,7,0,1,0,0,0x00,0,0xA5,RESET
15,14000,14.000,INITIAL_RESET_IDLE,7,0,0,0,0,0x00,0,0xA5,RESET
16,15000,15.000,INITIAL_RESET_IDLE,8,0,1,0,0,0x00,0,0xA5,RESET
17,16000,16.000,INITIAL_RESET_IDLE,8,0,0,1,0,0x00,0,0xA5,RESET
18,17000,17.000,INITIAL_RESET_IDLE,9,0,1,1,0,0x00,0,0x00,IDLE
19,18000,18.000,INITIAL_RESET_IDLE,9,0,0,1,0,0x00,0,0x00,IDLE
20,19000,19.000,INITIAL_RESET_IDLE,10,0,1,1,0,0x00,0,0x00,IDLE
21,20000,20.000,INITIAL_RESET_IDLE,10,0,0,1,0,0x00,0,0x00,IDLE
22,21000,21.000,INITIAL_RESET_IDLE,11,0,1,1,0,0x00,0,0x00,IDLE
23,22000,22.000,INITIAL_RESET_IDLE,11,0,0,1,0,0x00,0,0x00,IDLE
24,22000,22.000,CFG_DEFAULT_READ_TOTAL,11,0,0,1,0,0x00,0,0x00,IDLE
25,23000,23.000,CFG_DEFAULT_READ_TOTAL,12,0,1,1,0,0x00,0,0x00,IDLE
26,24000,24.000,CFG_DEFAULT_READ_TOTAL,12,0,0,1,0,0x00,0,0x00,IDLE
27,25000,25.000,CFG_DEFAULT_READ_TOTAL,13,0,1,1,0,0x00,0,0x00,IDLE
28,26000,26.000,CFG_DEFAULT_READ_TOTAL,13,0,0,1,0,0x00,0,0x00,IDLE
29,27000,27.000,CFG_DEFAULT_READ_TOTAL,14,0,1,1,0,0x00,0,0x00,IDLE
30,28000,28.000,CFG_DEFAULT_READ_TOTAL,14,0,0,1,1,0x0F,0,0x00,IDLE
31,29000,29.000,CFG_DEFAULT_READ_TOTAL,15,0,1,1,1,0x0F,0,0x00,READ_CFG_MODE
32,30000,30.000,CFG_DEFAULT_READ_TOTAL,15,0,0,1,0,0x01,0,0x00,READ_CFG_MODE
33,31000,31.000,CFG_DEFAULT_READ_TOTAL,16,1,1,1,0,0x01,0,0xF0,READ_CFG_TOTAL
34,32000,32.000,CFG_DEFAULT_READ_TOTAL,16,1,0,1,0,0x00,0,0xF0,READ_CFG_TOTAL
35,33000,33.000,CFG_DEFAULT_READ_TOTAL,17,2,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
36,34000,34.000,CFG_DEFAULT_READ_TOTAL,17,2,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
37,35000,35.000,CFG_DEFAULT_READ_TOTAL,18,3,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
38,36000,36.000,CFG_DEFAULT_READ_TOTAL,18,3,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
39,37000,37.000,CFG_DEFAULT_READ_TOTAL,19,4,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
40,38000,38.000,CFG_DEFAULT_READ_TOTAL,19,4,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
41,39000,39.000,CFG_DEFAULT_READ_TOTAL,20,5,1,1,0,0x00,1,0x00,READ_CFG_TOTAL
42,40000,40.000,CFG_DEFAULT_READ_TOTAL,20,5,0,1,0,0x00,1,0x00,READ_CFG_TOTAL
